,ClientID,Quarter,Baseline,date
0,1211064,2019 Q1,0,2019-01-01
1,1211514,2019 Q1,1,2019-01-01
2,1211514,2019 Q1,0,2019-01-01
3,1219745,2019 Q1,0,2019-01-01
4,1225338,2019 Q1,0,2019-01-01
5,1225647,2019 Q1,0,2019-01-01
6,1226161,2019 Q1,0,2019-01-01
7,1228718,2019 Q1,0,2019-01-01
8,1229738,2019 Q1,0,2019-01-01
9,1234970,2019 Q1,0,2019-01-01
10,1235665,2019 Q1,0,2019-01-01
11,1235707,2019 Q1,0,2019-01-01
12,1236476,2019 Q1,1,2019-01-01
13,1236476,2019 Q1,0,2019-01-01
14,1236662,2019 Q1,0,2019-01-01
15,1236788,2019 Q1,0,2019-01-01
16,1238832,2019 Q1,1,2019-01-01
17,1238832,2019 Q1,0,2019-01-01
18,1240386,2019 Q1,0,2019-01-01
19,1240434,2019 Q1,0,2019-01-01
20,1241151,2019 Q1,0,2019-01-01
21,1241690,2019 Q1,0,2019-01-01
22,1243166,2019 Q1,0,2019-01-01
23,1244828,2019 Q1,0,2019-01-01
24,1244917,2019 Q1,0,2019-01-01
25,1246281,2019 Q1,0,2019-01-01
26,1246777,2019 Q1,0,2019-01-01
27,1247825,2019 Q1,0,2019-01-01
28,1247996,2019 Q1,0,2019-01-01
29,1248492,2019 Q1,0,2019-01-01
30,1248703,2019 Q1,0,2019-01-01
31,1248937,2019 Q1,0,2019-01-01
32,1249789,2019 Q1,0,2019-01-01
33,1250431,2019 Q1,0,2019-01-01
34,1250590,2019 Q1,0,2019-01-01
35,1251154,2019 Q1,0,2019-01-01
36,1251515,2019 Q1,0,2019-01-01
37,1251933,2019 Q1,0,2019-01-01
38,1252195,2019 Q1,0,2019-01-01
39,1252209,2019 Q1,0,2019-01-01
40,1252329,2019 Q1,1,2019-01-01
41,1252329,2019 Q1,0,2019-01-01
42,1253037,2019 Q1,0,2019-01-01
43,1256957,2019 Q1,0,2019-01-01
44,1257195,2019 Q1,0,2019-01-01
45,1258916,2019 Q1,0,2019-01-01
46,1260178,2019 Q1,0,2019-01-01
47,1263158,2019 Q1,0,2019-01-01
48,1263881,2019 Q1,0,2019-01-01
49,1264316,2019 Q1,0,2019-01-01
50,1265559,2019 Q1,0,2019-01-01
51,1266587,2019 Q1,0,2019-01-01
52,1267296,2019 Q1,0,2019-01-01
53,1267299,2019 Q1,0,2019-01-01
54,1267700,2019 Q1,0,2019-01-01
55,1267805,2019 Q1,0,2019-01-01
56,1268596,2019 Q1,0,2019-01-01
57,1268938,2019 Q1,0,2019-01-01
58,1269080,2019 Q1,0,2019-01-01
59,1269120,2019 Q1,0,2019-01-01
60,1269215,2019 Q1,0,2019-01-01
61,1269266,2019 Q1,0,2019-01-01
62,1269376,2019 Q1,0,2019-01-01
63,1269568,2019 Q1,0,2019-01-01
64,1269657,2019 Q1,1,2019-01-01
65,1269657,2019 Q1,0,2019-01-01
66,1270272,2019 Q1,0,2019-01-01
67,1270354,2019 Q1,0,2019-01-01
68,1270928,2019 Q1,0,2019-01-01
69,1270933,2019 Q1,0,2019-01-01
70,1270958,2019 Q1,0,2019-01-01
71,1271230,2019 Q1,0,2019-01-01
72,1271386,2019 Q1,0,2019-01-01
73,1271422,2019 Q1,0,2019-01-01
74,1272103,2019 Q1,0,2019-01-01
75,1273012,2019 Q1,0,2019-01-01
76,1273230,2019 Q1,0,2019-01-01
77,1273289,2019 Q1,0,2019-01-01
78,1273588,2019 Q1,0,2019-01-01
79,1273663,2019 Q1,0,2019-01-01
80,1273736,2019 Q1,0,2019-01-01
81,1273740,2019 Q1,0,2019-01-01
82,1273892,2019 Q1,0,2019-01-01
83,1273894,2019 Q1,0,2019-01-01
84,1273925,2019 Q1,0,2019-01-01
85,1274090,2019 Q1,0,2019-01-01
86,1274107,2019 Q1,0,2019-01-01
87,1274108,2019 Q1,0,2019-01-01
88,1274109,2019 Q1,0,2019-01-01
89,1274110,2019 Q1,0,2019-01-01
90,1274419,2019 Q1,0,2019-01-01
91,1274425,2019 Q1,1,2019-01-01
92,1274425,2019 Q1,0,2019-01-01
93,1274437,2019 Q1,1,2019-01-01
94,1274437,2019 Q1,0,2019-01-01
95,1274537,2019 Q1,0,2019-01-01
96,1274673,2019 Q1,0,2019-01-01
97,1274706,2019 Q1,0,2019-01-01
98,1274707,2019 Q1,0,2019-01-01
99,1274708,2019 Q1,0,2019-01-01
100,1274740,2019 Q1,0,2019-01-01
101,1275086,2019 Q1,0,2019-01-01
102,1275200,2019 Q1,0,2019-01-01
103,1275203,2019 Q1,0,2019-01-01
104,1275221,2019 Q1,0,2019-01-01
105,1275239,2019 Q1,0,2019-01-01
106,1275832,2019 Q1,0,2019-01-01
107,1276052,2019 Q1,0,2019-01-01
108,1276300,2019 Q1,0,2019-01-01
109,1276609,2019 Q1,0,2019-01-01
110,1276716,2019 Q1,0,2019-01-01
111,1276959,2019 Q1,0,2019-01-01
112,1277572,2019 Q1,0,2019-01-01
113,1277769,2019 Q1,0,2019-01-01
114,1277787,2019 Q1,0,2019-01-01
115,1277790,2019 Q1,0,2019-01-01
116,1277797,2019 Q1,0,2019-01-01
117,1277907,2019 Q1,0,2019-01-01
118,1277910,2019 Q1,0,2019-01-01
119,1277929,2019 Q1,0,2019-01-01
120,1277937,2019 Q1,0,2019-01-01
121,1277944,2019 Q1,0,2019-01-01
122,1277945,2019 Q1,0,2019-01-01
123,1277956,2019 Q1,0,2019-01-01
124,1277964,2019 Q1,0,2019-01-01
125,1277975,2019 Q1,0,2019-01-01
126,1278114,2019 Q1,0,2019-01-01
127,1278262,2019 Q1,0,2019-01-01
128,1278335,2019 Q1,0,2019-01-01
129,1278436,2019 Q1,0,2019-01-01
130,1278438,2019 Q1,0,2019-01-01
131,1278439,2019 Q1,0,2019-01-01
132,1278441,2019 Q1,0,2019-01-01
133,1278443,2019 Q1,0,2019-01-01
134,1278445,2019 Q1,0,2019-01-01
135,1278613,2019 Q1,0,2019-01-01
136,1278622,2019 Q1,0,2019-01-01
137,1278755,2019 Q1,0,2019-01-01
138,1278786,2019 Q1,0,2019-01-01
139,1278809,2019 Q1,0,2019-01-01
140,1278828,2019 Q1,0,2019-01-01
141,1278838,2019 Q1,0,2019-01-01
142,1278893,2019 Q1,0,2019-01-01
143,1278894,2019 Q1,0,2019-01-01
144,1278908,2019 Q1,0,2019-01-01
145,1278936,2019 Q1,0,2019-01-01
146,1278979,2019 Q1,0,2019-01-01
147,1278980,2019 Q1,0,2019-01-01
148,1279012,2019 Q1,0,2019-01-01
149,1279058,2019 Q1,0,2019-01-01
150,1279351,2019 Q1,0,2019-01-01
151,1279409,2019 Q1,0,2019-01-01
152,1279616,2019 Q1,0,2019-01-01
153,1279631,2019 Q1,0,2019-01-01
154,1279632,2019 Q1,0,2019-01-01
155,1279663,2019 Q1,0,2019-01-01
156,1279673,2019 Q1,0,2019-01-01
157,1279683,2019 Q1,0,2019-01-01
158,1279821,2019 Q1,0,2019-01-01
159,1279885,2019 Q1,0,2019-01-01
160,1279886,2019 Q1,0,2019-01-01
161,1279896,2019 Q1,0,2019-01-01
162,1279928,2019 Q1,0,2019-01-01
163,1280031,2019 Q1,0,2019-01-01
164,1280105,2019 Q1,0,2019-01-01
165,1280235,2019 Q1,0,2019-01-01
166,1280428,2019 Q1,1,2019-01-01
167,1280428,2019 Q1,0,2019-01-01
168,1280505,2019 Q1,0,2019-01-01
169,1280507,2019 Q1,0,2019-01-01
170,1280640,2019 Q1,0,2019-01-01
171,1280722,2019 Q1,0,2019-01-01
172,1280942,2019 Q1,0,2019-01-01
173,1280962,2019 Q1,0,2019-01-01
174,1281086,2019 Q1,0,2019-01-01
175,1281455,2019 Q1,1,2019-01-01
176,1281455,2019 Q1,0,2019-01-01
177,1281737,2019 Q1,0,2019-01-01
178,1281780,2019 Q1,0,2019-01-01
179,1281794,2019 Q1,0,2019-01-01
180,1281798,2019 Q1,0,2019-01-01
181,1281799,2019 Q1,0,2019-01-01
182,1281801,2019 Q1,0,2019-01-01
183,1281803,2019 Q1,0,2019-01-01
184,1282096,2019 Q1,0,2019-01-01
185,1282097,2019 Q1,0,2019-01-01
186,1282318,2019 Q1,0,2019-01-01
187,1282378,2019 Q1,0,2019-01-01
188,1282408,2019 Q1,0,2019-01-01
189,1282449,2019 Q1,0,2019-01-01
190,1282493,2019 Q1,0,2019-01-01
191,1282690,2019 Q1,0,2019-01-01
192,1282727,2019 Q1,0,2019-01-01
193,1282729,2019 Q1,0,2019-01-01
194,1282759,2019 Q1,0,2019-01-01
195,1282847,2019 Q1,0,2019-01-01
196,1282957,2019 Q1,0,2019-01-01
197,1282962,2019 Q1,0,2019-01-01
198,1283043,2019 Q1,0,2019-01-01
199,1283116,2019 Q1,0,2019-01-01
200,1283228,2019 Q1,0,2019-01-01
201,1283253,2019 Q1,0,2019-01-01
202,1283255,2019 Q1,0,2019-01-01
203,1283256,2019 Q1,0,2019-01-01
204,1283258,2019 Q1,0,2019-01-01
205,1283259,2019 Q1,0,2019-01-01
206,1283271,2019 Q1,0,2019-01-01
207,1283285,2019 Q1,0,2019-01-01
208,1283351,2019 Q1,0,2019-01-01
209,1283359,2019 Q1,0,2019-01-01
210,1283361,2019 Q1,0,2019-01-01
211,1283367,2019 Q1,0,2019-01-01
212,1283388,2019 Q1,0,2019-01-01
213,1283389,2019 Q1,0,2019-01-01
214,1283483,2019 Q1,0,2019-01-01
215,1283560,2019 Q1,0,2019-01-01
216,1283642,2019 Q1,0,2019-01-01
217,1283691,2019 Q1,0,2019-01-01
218,1283694,2019 Q1,0,2019-01-01
219,1283702,2019 Q1,0,2019-01-01
220,1283739,2019 Q1,0,2019-01-01
221,1283817,2019 Q1,0,2019-01-01
222,1283871,2019 Q1,0,2019-01-01
223,1284263,2019 Q1,1,2019-01-01
224,1284263,2019 Q1,0,2019-01-01
225,1284773,2019 Q1,0,2019-01-01
226,1284784,2019 Q1,0,2019-01-01
227,1285168,2019 Q1,0,2019-01-01
228,1285203,2019 Q1,0,2019-01-01
229,1285441,2019 Q1,0,2019-01-01
230,1285662,2019 Q1,0,2019-01-01
231,1285716,2019 Q1,0,2019-01-01
232,1285723,2019 Q1,0,2019-01-01
233,1285735,2019 Q1,0,2019-01-01
234,1285737,2019 Q1,0,2019-01-01
235,1285745,2019 Q1,0,2019-01-01
236,1286044,2019 Q1,0,2019-01-01
237,1286118,2019 Q1,0,2019-01-01
238,1286127,2019 Q1,0,2019-01-01
239,1286636,2019 Q1,0,2019-01-01
240,1286731,2019 Q1,0,2019-01-01
241,1286734,2019 Q1,0,2019-01-01
242,1286792,2019 Q1,0,2019-01-01
243,1286827,2019 Q1,0,2019-01-01
244,1287072,2019 Q1,0,2019-01-01
245,1287073,2019 Q1,0,2019-01-01
246,1287076,2019 Q1,0,2019-01-01
247,1287135,2019 Q1,0,2019-01-01
248,1287139,2019 Q1,0,2019-01-01
249,1287405,2019 Q1,0,2019-01-01
250,1287406,2019 Q1,0,2019-01-01
251,1287408,2019 Q1,0,2019-01-01
252,1287409,2019 Q1,0,2019-01-01
253,1287410,2019 Q1,0,2019-01-01
254,1287530,2019 Q1,0,2019-01-01
255,1287572,2019 Q1,0,2019-01-01
256,1287588,2019 Q1,0,2019-01-01
257,1287663,2019 Q1,0,2019-01-01
258,1288541,2019 Q1,0,2019-01-01
259,1288542,2019 Q1,0,2019-01-01
260,1288543,2019 Q1,0,2019-01-01
261,1288546,2019 Q1,0,2019-01-01
262,1288549,2019 Q1,0,2019-01-01
263,1288744,2019 Q1,0,2019-01-01
264,1288745,2019 Q1,0,2019-01-01
265,1288750,2019 Q1,0,2019-01-01
266,1288752,2019 Q1,0,2019-01-01
267,1288960,2019 Q1,0,2019-01-01
268,1289030,2019 Q1,0,2019-01-01
269,1289149,2019 Q1,0,2019-01-01
270,1289213,2019 Q1,0,2019-01-01
271,1289214,2019 Q1,0,2019-01-01
272,1289798,2019 Q1,0,2019-01-01
273,1289860,2019 Q1,0,2019-01-01
274,1290567,2019 Q1,0,2019-01-01
275,1290568,2019 Q1,0,2019-01-01
276,1290569,2019 Q1,0,2019-01-01
277,1290570,2019 Q1,0,2019-01-01
278,1290750,2019 Q1,0,2019-01-01
279,1290753,2019 Q1,0,2019-01-01
280,1291339,2019 Q1,0,2019-01-01
281,1291470,2019 Q1,0,2019-01-01
282,1291492,2019 Q1,0,2019-01-01
283,1291522,2019 Q1,0,2019-01-01
284,1291527,2019 Q1,0,2019-01-01
285,1291528,2019 Q1,0,2019-01-01
286,1291530,2019 Q1,0,2019-01-01
287,1291531,2019 Q1,0,2019-01-01
288,1291545,2019 Q1,0,2019-01-01
289,1291753,2019 Q1,0,2019-01-01
290,1291756,2019 Q1,0,2019-01-01
291,1291824,2019 Q1,0,2019-01-01
292,1291829,2019 Q1,0,2019-01-01
293,1291915,2019 Q1,0,2019-01-01
294,1291969,2019 Q1,0,2019-01-01
295,1292027,2019 Q1,0,2019-01-01
296,1292040,2019 Q1,0,2019-01-01
297,1292071,2019 Q1,1,2019-01-01
298,1292071,2019 Q1,0,2019-01-01
299,1292243,2019 Q1,0,2019-01-01
300,1292289,2019 Q1,0,2019-01-01
301,1292291,2019 Q1,0,2019-01-01
302,1292452,2019 Q1,0,2019-01-01
303,1292453,2019 Q1,0,2019-01-01
304,1292455,2019 Q1,0,2019-01-01
305,1292467,2019 Q1,0,2019-01-01
306,1292468,2019 Q1,0,2019-01-01
307,1292473,2019 Q1,0,2019-01-01
308,1292586,2019 Q1,0,2019-01-01
309,1292633,2019 Q1,0,2019-01-01
310,1292651,2019 Q1,0,2019-01-01
311,1292702,2019 Q1,0,2019-01-01
312,1292765,2019 Q1,0,2019-01-01
313,1292766,2019 Q1,0,2019-01-01
314,1292767,2019 Q1,0,2019-01-01
315,1292779,2019 Q1,0,2019-01-01
316,1292784,2019 Q1,1,2019-01-01
317,1292784,2019 Q1,0,2019-01-01
318,1292887,2019 Q1,0,2019-01-01
319,1292944,2019 Q1,0,2019-01-01
320,1293260,2019 Q1,0,2019-01-01
321,1293263,2019 Q1,0,2019-01-01
322,1293266,2019 Q1,0,2019-01-01
323,1293269,2019 Q1,0,2019-01-01
324,1293278,2019 Q1,0,2019-01-01
325,1293279,2019 Q1,0,2019-01-01
326,1293285,2019 Q1,0,2019-01-01
327,1293286,2019 Q1,0,2019-01-01
328,1293302,2019 Q1,0,2019-01-01
329,1293303,2019 Q1,0,2019-01-01
330,1293304,2019 Q1,0,2019-01-01
331,1293440,2019 Q1,0,2019-01-01
332,1293716,2019 Q1,0,2019-01-01
333,1293717,2019 Q1,0,2019-01-01
334,1293718,2019 Q1,0,2019-01-01
335,1293720,2019 Q1,0,2019-01-01
336,1293721,2019 Q1,0,2019-01-01
337,1293722,2019 Q1,0,2019-01-01
338,1293723,2019 Q1,0,2019-01-01
339,1293734,2019 Q1,0,2019-01-01
340,1293802,2019 Q1,0,2019-01-01
341,1294150,2019 Q1,0,2019-01-01
342,1294160,2019 Q1,0,2019-01-01
343,1294161,2019 Q1,0,2019-01-01
344,1294383,2019 Q1,0,2019-01-01
345,1294465,2019 Q1,0,2019-01-01
346,1294566,2019 Q1,0,2019-01-01
347,1294715,2019 Q1,0,2019-01-01
348,1294805,2019 Q1,0,2019-01-01
349,1294831,2019 Q1,0,2019-01-01
350,1294833,2019 Q1,0,2019-01-01
351,1294854,2019 Q1,0,2019-01-01
352,1294914,2019 Q1,0,2019-01-01
353,1294915,2019 Q1,0,2019-01-01
354,1294917,2019 Q1,0,2019-01-01
355,1294918,2019 Q1,0,2019-01-01
356,1294919,2019 Q1,0,2019-01-01
357,1294920,2019 Q1,0,2019-01-01
358,1294921,2019 Q1,0,2019-01-01
359,1294922,2019 Q1,0,2019-01-01
360,1294923,2019 Q1,0,2019-01-01
361,1294924,2019 Q1,0,2019-01-01
362,1294925,2019 Q1,0,2019-01-01
363,1294926,2019 Q1,0,2019-01-01
364,1294927,2019 Q1,0,2019-01-01
365,1294948,2019 Q1,0,2019-01-01
366,1295012,2019 Q1,0,2019-01-01
367,1295015,2019 Q1,0,2019-01-01
368,1295019,2019 Q1,0,2019-01-01
369,1295250,2019 Q1,0,2019-01-01
370,1295277,2019 Q1,1,2019-01-01
371,1295277,2019 Q1,0,2019-01-01
372,1295389,2019 Q1,0,2019-01-01
373,1295390,2019 Q1,0,2019-01-01
374,1295391,2019 Q1,0,2019-01-01
375,1295392,2019 Q1,0,2019-01-01
376,1295404,2019 Q1,0,2019-01-01
377,1295405,2019 Q1,0,2019-01-01
378,1295408,2019 Q1,0,2019-01-01
379,1295409,2019 Q1,0,2019-01-01
380,1295440,2019 Q1,0,2019-01-01
381,1295441,2019 Q1,0,2019-01-01
382,1295452,2019 Q1,0,2019-01-01
383,1295533,2019 Q1,0,2019-01-01
384,1295798,2019 Q1,0,2019-01-01
385,1295800,2019 Q1,0,2019-01-01
386,1295807,2019 Q1,0,2019-01-01
387,1295810,2019 Q1,0,2019-01-01
388,1295814,2019 Q1,0,2019-01-01
389,1295848,2019 Q1,0,2019-01-01
390,1295849,2019 Q1,0,2019-01-01
391,1295853,2019 Q1,0,2019-01-01
392,1295856,2019 Q1,0,2019-01-01
393,1295858,2019 Q1,0,2019-01-01
394,1295859,2019 Q1,0,2019-01-01
395,1295928,2019 Q1,0,2019-01-01
396,1295932,2019 Q1,0,2019-01-01
397,1295970,2019 Q1,0,2019-01-01
398,1296178,2019 Q1,0,2019-01-01
399,1296179,2019 Q1,0,2019-01-01
400,1296180,2019 Q1,0,2019-01-01
401,1296181,2019 Q1,0,2019-01-01
402,1296204,2019 Q1,0,2019-01-01
403,1296205,2019 Q1,0,2019-01-01
404,1296216,2019 Q1,0,2019-01-01
405,1296219,2019 Q1,0,2019-01-01
406,1296220,2019 Q1,0,2019-01-01
407,1296429,2019 Q1,0,2019-01-01
408,1297124,2019 Q1,0,2019-01-01
409,1297134,2019 Q1,0,2019-01-01
410,1297247,2019 Q1,0,2019-01-01
411,1297248,2019 Q1,0,2019-01-01
412,1297273,2019 Q1,0,2019-01-01
413,1297304,2019 Q1,0,2019-01-01
414,1297621,2019 Q1,0,2019-01-01
415,1297635,2019 Q1,0,2019-01-01
416,1297636,2019 Q1,0,2019-01-01
417,1297640,2019 Q1,0,2019-01-01
418,1297641,2019 Q1,0,2019-01-01
419,1297674,2019 Q1,0,2019-01-01
420,1297675,2019 Q1,0,2019-01-01
421,1297680,2019 Q1,0,2019-01-01
422,1297685,2019 Q1,0,2019-01-01
423,1297689,2019 Q1,0,2019-01-01
424,1297728,2019 Q1,0,2019-01-01
425,1297733,2019 Q1,0,2019-01-01
426,1297737,2019 Q1,0,2019-01-01
427,1297746,2019 Q1,0,2019-01-01
428,1297825,2019 Q1,0,2019-01-01
429,1297849,2019 Q1,0,2019-01-01
430,1297851,2019 Q1,0,2019-01-01
431,1297856,2019 Q1,0,2019-01-01
432,1297951,2019 Q1,1,2019-01-01
433,1297951,2019 Q1,0,2019-01-01
434,1298053,2019 Q1,0,2019-01-01
435,1298140,2019 Q1,0,2019-01-01
436,1298143,2019 Q1,0,2019-01-01
437,1298144,2019 Q1,0,2019-01-01
438,1298301,2019 Q1,1,2019-01-01
439,1298301,2019 Q1,0,2019-01-01
440,1299570,2019 Q1,1,2019-01-01
441,1299570,2019 Q1,0,2019-01-01
442,1299873,2019 Q1,0,2019-01-01
443,12100054,2019 Q1,1,2019-01-01
444,12100054,2019 Q1,0,2019-01-01
445,12100197,2019 Q1,1,2019-01-01
446,12100197,2019 Q1,0,2019-01-01
447,12100302,2019 Q1,1,2019-01-01
448,12100302,2019 Q1,0,2019-01-01
449,12100328,2019 Q1,1,2019-01-01
450,12100328,2019 Q1,0,2019-01-01
451,12100329,2019 Q1,1,2019-01-01
452,12100329,2019 Q1,0,2019-01-01
453,12100474,2019 Q1,1,2019-01-01
454,12100474,2019 Q1,0,2019-01-01
455,12100530,2019 Q1,1,2019-01-01
456,12100530,2019 Q1,0,2019-01-01
457,12100633,2019 Q1,1,2019-01-01
458,12100633,2019 Q1,0,2019-01-01
459,12100635,2019 Q1,1,2019-01-01
460,12100635,2019 Q1,0,2019-01-01
461,12100637,2019 Q1,1,2019-01-01
462,12100637,2019 Q1,0,2019-01-01
463,12100642,2019 Q1,1,2019-01-01
464,12100642,2019 Q1,0,2019-01-01
465,12100644,2019 Q1,1,2019-01-01
466,12100644,2019 Q1,0,2019-01-01
467,12100645,2019 Q1,1,2019-01-01
468,12100645,2019 Q1,0,2019-01-01
469,12100647,2019 Q1,1,2019-01-01
470,12100647,2019 Q1,0,2019-01-01
471,12100649,2019 Q1,1,2019-01-01
472,12100649,2019 Q1,0,2019-01-01
473,12100651,2019 Q1,1,2019-01-01
474,12100651,2019 Q1,0,2019-01-01
475,12100664,2019 Q1,1,2019-01-01
476,12100664,2019 Q1,0,2019-01-01
477,12100889,2019 Q1,1,2019-01-01
478,12100889,2019 Q1,0,2019-01-01
479,12101201,2019 Q1,1,2019-01-01
480,12101201,2019 Q1,0,2019-01-01
481,12101346,2019 Q1,1,2019-01-01
482,12101346,2019 Q1,0,2019-01-01
483,12101438,2019 Q1,1,2019-01-01
484,12101438,2019 Q1,0,2019-01-01
485,12101440,2019 Q1,1,2019-01-01
486,12101440,2019 Q1,0,2019-01-01
487,12101443,2019 Q1,1,2019-01-01
488,12101443,2019 Q1,0,2019-01-01
489,12101453,2019 Q1,1,2019-01-01
490,12101453,2019 Q1,0,2019-01-01
491,12101458,2019 Q1,1,2019-01-01
492,12101458,2019 Q1,0,2019-01-01
493,12101734,2019 Q1,1,2019-01-01
494,12101734,2019 Q1,0,2019-01-01
495,1016728,2019 Q1,0,2019-01-01
496,1018386,2019 Q1,0,2019-01-01
497,1000051,2019 Q1,0,2019-01-01
498,1000052,2019 Q1,0,2019-01-01
499,1000075,2019 Q1,0,2019-01-01
500,1000114,2019 Q1,0,2019-01-01
501,1000115,2019 Q1,0,2019-01-01
502,1000280,2019 Q1,0,2019-01-01
503,1000284,2019 Q1,0,2019-01-01
504,1001785,2019 Q1,0,2019-01-01
505,1001971,2019 Q1,0,2019-01-01
506,1002315,2019 Q1,0,2019-01-01
507,1002981,2019 Q1,0,2019-01-01
508,1003552,2019 Q1,0,2019-01-01
509,1003173,2019 Q1,0,2019-01-01
510,1000028,2019 Q1,0,2019-01-01
511,1013538,2019 Q1,0,2019-01-01
512,1010009,2019 Q1,0,2019-01-01
513,1013877,2019 Q1,0,2019-01-01
514,1004903,2019 Q1,0,2019-01-01
515,1006814,2019 Q1,0,2019-01-01
516,1016960,2019 Q1,0,2019-01-01
517,1005953,2019 Q1,0,2019-01-01
518,1018439,2019 Q1,1,2019-01-01
519,1019091,2019 Q1,1,2019-01-01
520,1018439,2019 Q1,0,2019-01-01
521,1001076,2019 Q1,1,2019-01-01
522,1000040,2019 Q1,1,2019-01-01
523,1001041,2019 Q1,1,2019-01-01
524,1002647,2019 Q1,1,2019-01-01
525,1005637,2019 Q1,1,2019-01-01
526,1002677,2019 Q1,1,2019-01-01
527,1014575,2019 Q1,1,2019-01-01
528,1019249,2019 Q1,1,2019-01-01
529,1019165,2019 Q1,1,2019-01-01
530,1019349,2019 Q1,1,2019-01-01
531,1019464,2019 Q1,1,2019-01-01
532,1019171,2019 Q1,1,2019-01-01
533,1019172,2019 Q1,1,2019-01-01
534,1019168,2019 Q1,1,2019-01-01
535,1019098,2019 Q1,1,2019-01-01
536,1019058,2019 Q1,1,2019-01-01
537,1018922,2019 Q1,1,2019-01-01
538,1017620,2019 Q1,1,2019-01-01
539,1019242,2019 Q1,1,2019-01-01
540,1003716,2019 Q1,1,2019-01-01
541,1019236,2019 Q1,1,2019-01-01
542,1017808,2019 Q1,1,2019-01-01
543,1018268,2019 Q1,1,2019-01-01
544,1018190,2019 Q1,1,2019-01-01
545,1018263,2019 Q1,1,2019-01-01
546,1018269,2019 Q1,1,2019-01-01
547,1000044,2019 Q1,1,2019-01-01
548,1018195,2019 Q1,1,2019-01-01
549,1018266,2019 Q1,1,2019-01-01
550,1018267,2019 Q1,1,2019-01-01
551,1017809,2019 Q1,1,2019-01-01
552,1018271,2019 Q1,1,2019-01-01
553,1019006,2019 Q1,1,2019-01-01
554,1018183,2019 Q1,1,2019-01-01
555,1018924,2019 Q1,1,2019-01-01
556,1018385,2019 Q1,1,2019-01-01
557,1018192,2019 Q1,1,2019-01-01
558,1017694,2019 Q1,1,2019-01-01
559,1018188,2019 Q1,1,2019-01-01
560,1018324,2019 Q1,1,2019-01-01
561,1019557,2019 Q1,1,2019-01-01
562,1019245,2019 Q1,1,2019-01-01
563,1019146,2019 Q1,1,2019-01-01
564,1018435,2019 Q1,1,2019-01-01
565,1017830,2019 Q1,1,2019-01-01
566,1003716,2019 Q1,0,2019-01-01
567,1017830,2019 Q1,0,2019-01-01
568,1017620,2019 Q1,0,2019-01-01
569,1018435,2019 Q1,0,2019-01-01
570,1019369,2019 Q1,1,2019-01-01
571,1019446,2019 Q1,1,2019-01-01
572,1019612,2019 Q1,1,2019-01-01
573,1001804,2019 Q1,1,2019-01-01
574,1003432,2019 Q1,1,2019-01-01
575,1000009,2019 Q1,1,2019-01-01
576,1013342,2019 Q1,1,2019-01-01
577,1000041,2019 Q1,1,2019-01-01
578,1000719,2019 Q1,1,2019-01-01
579,1000453,2019 Q1,1,2019-01-01
580,1001731,2019 Q1,1,2019-01-01
581,1002686,2019 Q1,1,2019-01-01
582,1019233,2019 Q1,1,2019-01-01
583,1019457,2019 Q1,1,2019-01-01
584,1019327,2019 Q1,1,2019-01-01
585,1019458,2019 Q1,1,2019-01-01
586,1017665,2019 Q1,1,2019-01-01
587,1018280,2019 Q1,1,2019-01-01
588,1018821,2019 Q1,1,2019-01-01
589,1018615,2019 Q1,1,2019-01-01
590,1016978,2019 Q1,1,2019-01-01
591,1018804,2019 Q1,1,2019-01-01
592,1019104,2019 Q1,1,2019-01-01
593,1019102,2019 Q1,1,2019-01-01
